### Footprint positions - created on 2024 April 14, Sunday 12:46:13 ###
### Printed by KiCad version 7.0.8
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val            Package                                   PosX       PosY       Rot  Side
CA1       0.1uF          C_0603_1608Metric                      50.8508   -26.2760  -90.0000  top
CA2       0.1uF          C_0603_1608Metric                      49.3268   -26.2760  -90.0000  top
CA3       0.1uF          C_0603_1608Metric                      47.8282   -26.2760  -90.0000  top
CA4       0.1uF          C_0603_1608Metric                      44.6776   -28.0672  -90.0000  top
CA5       0.1uF          C_0603_1608Metric                      47.1932   -38.1000  180.0000  top
CA6       0.1uF          C_0603_1608Metric                      51.3842   -44.7548   90.0000  top
CA7       0.1uF          C_0603_1608Metric                      40.1958   -39.0144    0.0000  top
CA8       0.1uF          C_0603_1608Metric                      44.6024   -41.3134   90.0000  top
CA9       0.1uF          C_0603_1608Metric                      56.6928   -49.8980  -90.0000  top
CB1       10uF           C_1206_3216Metric                      65.1002   -38.0238   90.0000  top
CB2       10uF           C_1206_3216Metric                      59.4342   -36.0680    0.0000  top
CC1       0.47uF         C_1206_3216Metric                      55.4736   -24.9936    0.0000  top
CC2       0.47uF         C_1206_3216Metric                      57.8358   -28.4970   90.0000  top
CC3       0.47uF         C_1206_3216Metric                      60.1726   -28.5006   90.0000  top
CN1       SCART_RGB_CTL  PinHeader_2x07_P2.54mm_Vertical        21.8694   -26.9494    0.0000  top
CN2       AUX_POWER      PinSocket_1x03_P2.00mm_Vertical        21.3426   -19.9390   90.0000  top
LED1      RED            D_1206_3216Metric                      17.7546   -52.5048   90.0000  top
LED2      BLUE           D_1206_3216Metric                      26.4160   -52.5434   90.0000  top
LED3      YELLOW         D_1206_3216Metric                      33.6296   -52.5434   90.0000  top
LED4      GREEN          D_1206_3216Metric                      40.8432   -52.5750   90.0000  top
POT1      10k            Potentiometer_Bourns_TC33X_Vertical    33.5280   -40.1320   90.0000  top
QN1       Q_NMOS_GSD     SOT-23-3                               22.2250   -53.1114  -90.0000  top
QN2       Q_NMOS_GSD     SOT-23-3                               29.3980   -53.1059  -90.0000  top
QN3       Q_NMOS_GSD     SOT-23-3                               36.6166   -53.0805  -90.0000  top
RA1       75             R_0603_1608Metric                      33.3502   -26.6568   90.0000  top
RA2       75             R_0603_1608Metric                      33.3248   -29.7810  -90.0000  top
RA3       75             R_0603_1608Metric                      52.9722   -28.6512    0.0000  top
RA4       75             R_0603_1608Metric                      52.9712   -31.6992    0.0000  top
RA5       75             R_0603_1608Metric                      33.3248   -32.9306   90.0000  top
RA6       75             R_0603_1608Metric                      52.9712   -34.7472    0.0000  top
RA7       75             R_0603_1608Metric                      33.3502   -35.9918  -90.0000  top
RB1       220            R_0603_1608Metric                      52.9712   -30.1752  180.0000  top
RB2       220            R_0603_1608Metric                      52.9712   -33.2232  180.0000  top
RB3       220            R_0603_1608Metric                      52.9712   -36.2712  180.0000  top
RC1       1000           R_0603_1608Metric                      32.5120   -44.6024  -90.0000  top
RC2       1000           R_0603_1608Metric                      43.8790   -39.0652  180.0000  top
RC3       1000           R_0603_1608Metric                      53.6448   -44.8178  -90.0000  top
RC4       1000           R_0603_1608Metric                      45.5884   -54.3052    0.0000  top
RC5       1000           R_0603_1608Metric                      19.7236   -48.8950  180.0000  top
RC6       1000           R_0603_1608Metric                      23.1902   -49.5178  -90.0000  top
RC7       1000           R_0603_1608Metric                      28.4226   -49.5178  -90.0000  top
RC8       1000           R_0603_1608Metric                      30.3530   -49.5178  -90.0000  top
RC9       1000           R_0603_1608Metric                      35.6616   -49.4924  -90.0000  top
RC10      1000           R_0603_1608Metric                      37.5920   -49.4924  -90.0000  top
RC11      1000           R_0603_1608Metric                      41.2242   -48.6918  -90.0000  top
RD1       10k            R_0603_1608Metric                      53.0606   -50.7492   90.0000  top
RD2       10k            R_0603_1608Metric                      37.3380   -44.7670  -90.0000  top
RD3       10k            R_0603_1608Metric                      64.2620   -54.3052    0.0000  top
TA1       Hold_@_25mA    R_0603_1608Metric                      31.8262   -26.6578   90.0000  top
TA2       Hold_@_25mA    R_0603_1608Metric                      31.8008   -29.7810  -90.0000  top
TA3       Hold_@_25mA    R_0603_1608Metric                      31.8262   -32.9306  -90.0000  top
TB1       Hold_@_70mA    R_0603_1608Metric                      31.0642   -36.7538  180.0000  top
U1        TS5V330CDR     D16                                    40.1183   -31.7886    0.0000  top
U2        THS7374        TSSOP-14_4.4x5mm_P0.65mm               48.4368   -33.2055  -90.0000  top
U3        74LVC3G06      VSSOP-8_2.4x2.1mm_P0.5mm               47.2948   -44.9580    0.0000  top
U4        MCP6001U       SOT-23-5                               37.7952   -41.5036    0.0000  top
U5        74LVC1G10      SOT-363_SC-70-6                        42.2504   -41.5902    0.0000  top
U6        74AHC1G32      SOT-353_SC-70-5                        56.0324   -53.0352   90.0000  top
U7        LM2937xMP      SOT-223-3_TabPin2                      59.1058   -41.8334  -90.0000  top
ZDA1      1v             D_0603_1608Metric                      34.8488   -26.6568  -90.0000  top
ZDA2      1v             D_0603_1608Metric                      34.8488   -29.7689   90.0000  top
ZDA3      1v             D_0603_1608Metric                      34.8488   -32.9439  -90.0000  top
ZDB1      ~3v            D_0603_1608Metric                      34.9250   -35.9919   90.0000  top
## End
